电信央视,#genre#
CCTV-1 综合,http://27.148.240.138/PLTV/88888888/224/3221226773/index.m3u8?rrsip=27.148.240.138&zoneoffset=480&servicetype=1&icpid=bestv&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EoZ-ICuHW6yqOfZGPqMmekg%7EtaBSh2ikAZOgZpaWWm7p-2l89BPVTVtsRAe9bvTBI4I-94QlgeGu6Kn3ZNGPmS4rJewGgMD2bXWlEoOhQ8IOrdFzom3UHbf862JN6bdDQu0%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20190928020517%2C2470444%2C218.66.114.183%2C20190928020517%2CUmai%3ACHAN%2F111128%40BESTV.SMG.SMG%2C247044420190928020517%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAC2OwQ6CMAyG32bHBRABDzthTEwMHkCvpm5lEgqbG5j49sLk1vb7v_SfHEg8H8U4EzGP78qIhEkg6kZdGbWie10-kpzHacGTdMcL1qzOiUCLKESreXii25bFq9F9OolC-ZZbgu_siHvbhfnmaMMMm-13vM8OWZSnRRbFOZvWawO-Xwh7gS_NYMGhuhgdBNECeWQWZA8aKxjwXz54V6eWJj8jGGYo1QAAAA
CCTV-2 财经,rtsp://27.148.236.129:554/live/ch17092208064869858322.sdp?FccMediaIP=239.61.2.174&FccMediaPort=9032&vcdnid=001&mediaid=ch17092208064869858322&AuthInfo=Jz%2F%2BoxTcEWQ734O5OnSPeuVNSmW%2FuLInEI%2B506xatIjpx2DLyv397eUrqBoM35ZL0d8RtgP2DayASZlOpMLMaA%3D%3D                
CCTV-3 综艺,rtsp://27.148.236.129:554/live/ch20122816275150505818.sdp?FccMediaIP=239.61.3.34&FccMediaPort=9722&vcdnid=001&mediaid=ch20122816275150505818&AuthInfo=Jz%2F%2BoxTcEWQ734O5OnSPepZ632H%2FNTmJ6DpAwcDRqgZ8OEJs%2B%2BdAg%2F%2BIsd8wblPj0d8RtgP2DayASZlOpMLMaA%3D%3D
CCTV-4 中文国际,rtsp://27.148.236.129:554/live/ch17081011542536199690.sdp?FccMediaIP=239.61.2.206&FccMediaPort=9224&vcdnid=001&mediaid=ch17081011542536199690&AuthInfo=Jz%2F%2BoxTcEWQ734O5OnSPepDWrvzQNAf5hZYyvfscyt9uftcKpgmZg8FMEkpHUvo90d8RtgP2DayASZlOpMLMaA%3D%3D
CCTV-5 体育,rtsp://27.148.236.129:554/live/ch20122816284434600276.sdp?FccMediaIP=239.61.3.35&FccMediaPort=9728&vcdnid=001&mediaid=ch20122816284434600276&AuthInfo=Jz%2F%2BoxTcEWQ734O5OnSPepZ632H%2FNTmJ6DpAwcDRqgbatbkUp7SwajDFkq6gM5r40d8RtgP2DayASZlOpMLMaA%3D%3D
CCTV-5+体育赛事,rtsp://27.148.236.129:554/live/ch17092110522954055086.sdp?FccMediaIP=239.61.2.171&FccMediaPort=9014&vcdnid=001&mediaid=ch17092110522954055086&AuthInfo=Jz%2F%2BoxTcEWQ734O5OnSPemTNIjvpLLAybGQqvqya7Jnzg4vEGJmv66b0ror5k2B90d8RtgP2DayASZlOpMLMaA%3D%3D
CCTV-6 电影,rtsp://27.148.236.129:554/live/ch20122816292260718026.sdp?FccMediaIP=239.61.3.36&FccMediaPort=9734&vcdnid=001&mediaid=ch20122816292260718026&AuthInfo=Jz%2F%2BoxTcEWQ734O5OnSPepZ632H%2FNTmJ6DpAwcDRqgbUT4aA8fQIQQ1aYtl11EJA0d8RtgP2DayASZlOpMLMaA%3D%3D
CCTV-7 国防军事,rtsp://27.148.236.129:554/live/ch17092208080814677315.sdp?FccMediaIP=239.61.2.175&FccMediaPort=9038&vcdnid=001&mediaid=ch17092208080814677315&AuthInfo=Jz%2F%2BoxTcEWQ734O5OnSPeuVNSmW%2FuLInEI%2B506xatIgxjerMnEWrmlwcvY1VkxQY0d8RtgP2DayASZlOpMLMaA%3D%3D
CCTV-8 电视剧,rtsp://27.148.236.129:554/live/ch20122816295372138106.sdp?FccMediaIP=239.61.3.37&FccMediaPort=9740&vcdnid=001&mediaid=ch20122816295372138106&AuthInfo=Jz%2F%2BoxTcEWQ734O5OnSPepZ632H%2FNTmJ6DpAwcDRqgbu5FdRrTjXA1A0gXrWZP1b0d8RtgP2DayASZlOpMLMaA%3D%3D
CCTV-9 记录,rtsp://27.148.236.129:554/live/ch17092110534875474266.sdp?FccMediaIP=239.61.2.172&FccMediaPort=9020&vcdnid=001&mediaid=ch17092110534875474266&AuthInfo=Jz%2F%2BoxTcEWQ734O5OnSPemTNIjvpLLAybGQqvqya7Jn5g6YtyMzYmHPatdmMqHrS0d8RtgP2DayASZlOpMLMaA%3D%3D
CCTV-10 科教,rtsp://27.148.236.129:554/live/ch17092208093413465804.sdp?FccMediaIP=239.61.2.176&FccMediaPort=9044&vcdnid=001&mediaid=ch17092208093413465804&AuthInfo=Jz%2F%2BoxTcEWQ734O5OnSPeuVNSmW%2FuLInEI%2B506xatIhrh2PWFzK%2B57rJ0BwzVox70d8RtgP2DayASZlOpMLMaA%3D%3D
CCTV-11 戏曲,rtsp://27.148.236.129:554/live/ch15102717162059665205.sdp?FccMediaIP=239.61.2.21&FccMediaPort=8120&vcdnid=001&mediaid=ch15102717162059665205&AuthInfo=Jz%2F%2BoxTcEWQ734O5OnSPepuwX%2F0ANBqlv2324gByIdkg9z1lfh9JEIv%2FHwXclHL30d8RtgP2DayASZlOpMLMaA%3D%3D
CCTV-12 社会与法,rtsp://27.148.236.129:554/live/ch17092208110147271148.sdp?FccMediaIP=239.61.2.177&FccMediaPort=9050&vcdnid=001&mediaid=ch17092208110147271148&AuthInfo=Jz%2F%2BoxTcEWQ734O5OnSPepTWxJQ8J6Rst%2Fq2aUIxIG6Pp7A8OWphKQEB102tddQL0d8RtgP2DayASZlOpMLMaA%3D%3D
CCTV-13 新闻,rtsp://27.148.236.129:554/live/ch15102717162008550635.sdp?FccMediaIP=239.61.2.23&FccMediaPort=8132&vcdnid=001&mediaid=ch15102717162008550635&AuthInfo=Jz%2F%2BoxTcEWQ734O5OnSPepuwX%2F0ANBqlv2324gByIdk10HMODIf7jWnpCDVCgDFC0d8RtgP2DayASZlOpMLMaA%3D%3D
CCTV-14 少儿,rtsp://27.148.236.129:554/live/ch17092208120898287250.sdp?FccMediaIP=239.61.2.178&FccMediaPort=9056&vcdnid=001&mediaid=ch17092208120898287250&AuthInfo=Jz%2F%2BoxTcEWQ734O5OnSPepTWxJQ8J6Rst%2Fq2aUIxIG6%2F0Oo3lWbc1MLQ8LmkM4nd0d8RtgP2DayASZlOpMLMaA%3D%3D
CCTV-15 音乐,rtsp://27.148.236.129:554/live/ch15102717162037072744.sdp?FccMediaIP=239.61.2.25&FccMediaPort=8144&vcdnid=001&mediaid=ch15102717162037072744&AuthInfo=Jz%2F%2BoxTcEWQ734O5OnSPepuwX%2F0ANBqlv2324gByIdnunoFSE97RouCVJ7R9TXBI0d8RtgP2DayASZlOpMLMaA%3D%3D
