电信福建,#genre#
东南卫视,rtsp://27.148.240.181/PLTV/88888888/224/3221227012/10000100000000060000000001740935_0.smil?rrsip=27.148.240.138&zoneoffset=480&icpid=bestv&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7Essti05t9ERLCRwP4wW7r2A%7EsDx4GJd5Sr5pYevmmuSb7lMNRcJZ8QqTk0LBOVj9HXJh8P2i1kD4jcBarRb5k9Ns0ihfdocarYCdnvZkFLewLSW1aXqQA1I4x5-WRR-bsJk%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20230115200419%2C10500000044552%2C27.156.164.235%2C20230115200419%2C10000100000000050000000001769285%2C1000100009996820230115200419%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2#http://27.148.240.138/PLTV/88888888/224/3221226754/ 1.m3u8#http://8.138.7.223/tv/fjtv.php?id=5#http://192.168.50.121:8080/fjtv.php?id=5#http://117.27.190.42:9998/tsfile/live/23281_1.m3u8#rtsp://27.148.236.129:554/live/ch16042815324509410461.sdp?FccMediaIP=239.61.2.132&FccMediaPort=8708&vcdnid=001&mediaid=ch16042815324509410461&AuthInfo=Jz%2F%2BoxTcEWQ734O5OnSPerVLv9kV0i8z18%2BO%2FGEW7zrA9lINnAT6PTwZ1Fq5%2BP1h0d8RtgP2DayASZlOpMLMaA%3D%3D
海峡卫视,rtsp://27.148.240.181/PLTV/88888888/224/3221226140/10000100000000060000000000741317_0.smil?rrsip=27.148.240.138&zoneoffset=480&icpid=bestv&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EoEx8174AokRsYSGoBKp-Dw%7EsDx4GJd5Sr5pYevmmuSb7lMNRcJZ8QqTk0LBOVj9HXJh8P2i1kD4jcBarRb5k9Ns0ihfdocarYCdnvZkFLewLSW1aXqQA1I4x5-WRR-bsJk%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20230115200419%2C10500000044552%2C27.156.164.235%2C20230115200419%2C10000100000000050000000000753088%2C1000100009996820230115200419%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2#http://27.148.240.138/PLTV/88888888/224/3221226748/ 1.m3u8#http://8.138.7.223/tv/fjtv.php?id=3#http://192.168.50.121:8080/fjtv.php?id=3#http://117.27.190.42:9998/tsfile/live/23283_1.m3u8#rtsp://27.148.236.129:554/live/ch17033111334107910034.sdp?FccMediaIP=239.61.2.151&FccMediaPort=8894&vcdnid=001&mediaid=ch17033111334107910034&AuthInfo=Jz%2F%2BoxTcEWQ734O5OnSPejd0WLQzEhY9j%2BmVKk8sVOfB%2F%2FzGuHl09DC0UKjzL%2BBz0d8RtgP2DayASZlOpMLMaA%3D%3D                    
福建综合,rtsp://27.148.240.181/PLTV/88888888/224/3221226716/10000100000000060000000001664269_0.smil?rrsip=27.148.240.138&zoneoffset=480&icpid=bestv&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7Etl-G-6is4VMYhq2H8PPY5A%7EsDx4GJd5Sr5pYevmmuSb7lMNRcJZ8QqTk0LBOVj9HXJh8P2i1kD4jcBarRb5k9Ns0ihfdocarYCdnvZkFLewLSW1aXqQA1I4x5-WRR-bsJk%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20230115200419%2C10500000044552%2C27.156.164.235%2C20230115200419%2C10000100000000050000000001690355%2C1000100009996820230115200419%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2#http://27.148.240.138/PLTV/88888888/224/3221226722/ 1.m3u8#http://8.138.7.223/tv/fjtv.php?id=4#http://192.168.50.121:8080/fjtv.php?id=4#http://117.27.190.42:9998/tsfile/live/23284_1.m3u8#rtsp://27.148.236.129:554/live/ch18122115512978075826.sdp?FccMediaIP=239.61.3.4&FccMediaPort=9542&vcdnid=001&mediaid=ch18122115512978075826&AuthInfo=Jz%2F%2BoxTcEWQ734O5OnSPepy8u14%2FOk%2B1sTcO%2BggEBbhxaAzKNGk33J6kgPDlAAM60d8RtgP2DayASZlOpMLMaA%3D%3D
福建公共,rtsp://27.148.240.181/PLTV/88888888/224/3221225680/10000100000000060000000000417444_0.smil?rrsip=27.148.240.138&zoneoffset=480&icpid=bestv&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7ElswcXPd4G2lfmcmsNKjjHg%7EsDx4GJd5Sr5pYevmmuSb7lMNRcJZ8QqTk0LBOVj9HXJh8P2i1kD4jcBarRb5k9Ns0ihfdocarYCdnvZkFLewLSW1aXqQA1I4x5-WRR-bsJk%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20230115200419%2C10500000044552%2C27.156.164.235%2C20230115200419%2CUmai%3ACHAN%2F12354508%40BESTV.STA.SMG%2C1000100009996820230115200419%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2#http://27.148.240.138/PLTV/88888888/224/3221226928/ 1.m3u8#http://8.138.7.223/tv/fjtv.php?id=6#http://192.168.50.121:8080/fjtv.php?id=6#http://117.27.190.42:9998/tsfile/live/23285_1.m3u8#rtsp://27.148.236.129:554/live/ch15102710565314111610.sdp?FccMediaIP=239.61.2.3&FccMediaPort=8012&vcdnid=001&mediaid=ch15102710565314111610&AuthInfo=Jz%2F%2BoxTcEWQ734O5OnSPegnjbrYSco5XkoFHD0Fl3qncMt%2F%2FoFOv7fkGQ1ujMhrS0d8RtgP2DayASZlOpMLMaA%3D%3D
福建新闻,rtsp://27.148.240.181/PLTV/88888888/224/3221225681/10000100000000060000000000417445_0.smil?rrsip=27.148.240.138&zoneoffset=480&icpid=bestv&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7Ep4tgHVBqXgaa2nIyve8a9g%7EsDx4GJd5Sr5pYevmmuSb7lMNRcJZ8QqTk0LBOVj9HXJh8P2i1kD4jcBarRb5k9Ns0ihfdocarYCdnvZkFLewLSW1aXqQA1I4x5-WRR-bsJk%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20230115200419%2C10500000044552%2C27.156.164.235%2C20230115200419%2CUmai%3ACHAN%2F1408830%40BESTV.STA.SMG%2C1000100009996820230115200419%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2#http://27.148.240.138/PLTV/88888888/224/3221226736/ 1.m3u8#http://8.138.7.223/tv/fjtv.php?id=13#http://192.168.50.121:8080/fjtv.php?id=13#http://117.27.190.42:9998/tsfile/live/23286_1.m3u8#rtsp://27.148.236.129:554/live/ch15102712014936453054.sdp?FccMediaIP=239.61.2.4&FccMediaPort=8018&vcdnid=001&mediaid=ch15102712014936453054&AuthInfo=Jz%2F%2BoxTcEWQ734O5OnSPego4mfMZXEIZlLdF21ttOHCbBW6Jt9jviiRxkK8xc9u00d8RtgP2DayASZlOpMLMaA%3D%3D
福建电视剧,rtsp://27.148.240.181/PLTV/88888888/224/3221225682/10000100000000060000000000417446_0.smil?rrsip=27.148.240.138&zoneoffset=480&icpid=bestv&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EFPGaHnhs0B8PHerI_OT4OA%7EsDx4GJd5Sr5pYevmmuSb7lMNRcJZ8QqTk0LBOVj9HXJh8P2i1kD4jcBarRb5k9Ns0ihfdocarYCdnvZkFLewLSW1aXqQA1I4x5-WRR-bsJk%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20230115200419%2C10500000044552%2C27.156.164.235%2C20230115200419%2CUmai%3ACHAN%2F12354510%40BESTV.STA.SMG%2C1000100009996820230115200419%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2#http://27.148.240.138/PLTV/88888888/224/3221226732/ 1.m3u8#http://8.138.7.223/tv/fjtv.php?id=7#http://192.168.50.121:8080/fjtv.php?id=7#http://117.27.190.42:9998/tsfile/live/23287_1.m3u8#rtsp://27.148.236.129:554/live/ch15102717162032881873.sdp?FccMediaIP=239.61.2.5&FccMediaPort=8024&vcdnid=001&mediaid=ch15102717162032881873&AuthInfo=Jz%2F%2BoxTcEWQ734O5OnSPepuwX%2F0ANBqlv2324gByIdmkTBK3v0BCcoRMw8d3tQo20d8RtgP2DayASZlOpMLMaA%3D%3D                   
福建旅游,rtsp://27.148.240.181/PLTV/88888888/224/3221225683/10000100000000060000000000417447_0.smil?rrsip=27.148.240.138&zoneoffset=480&icpid=bestv&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EYec3Rk_GP_t00LXixBuAlQ%7EsDx4GJd5Sr5pYevmmuSb7lMNRcJZ8QqTk0LBOVj9HXJh8P2i1kD4jcBarRb5k9Ns0ihfdocarYCdnvZkFLewLSW1aXqQA1I4x5-WRR-bsJk%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20230115200419%2C10500000044552%2C27.156.164.235%2C20230115200419%2CUmai%3ACHAN%2F12354511%40BESTV.STA.SMG%2C1000100009996820230115200419%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2#http://27.148.240.138/PLTV/88888888/224/3221226854/ 1.m3u8#http://8.138.7.223/tv/fjtv.php?id=8#http://192.168.50.121:8080/fjtv.php?id=8#http://117.27.190.42:9998/tsfile/live/23288_1.m3u8#rtsp://27.148.236.129:554/live/ch15102717162061906016.sdp?FccMediaIP=239.61.2.6&FccMediaPort=8030&vcdnid=001&mediaid=ch15102717162061906016&AuthInfo=Jz%2F%2BoxTcEWQ734O5OnSPepuwX%2F0ANBqlv2324gByIdkYL%2BoCtEwbBOXIj%2FqJOuIO0d8RtgP2DayASZlOpMLMaA%3D%3D
福建经济,rtsp://27.148.240.181/PLTV/88888888/224/3221225684/10000100000000060000000000417448_0.smil?rrsip=27.148.240.138&zoneoffset=480&icpid=bestv&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7E_zNhM-uatC6sgJlY3txgbA%7EsDx4GJd5Sr5pYevmmuSb7lMNRcJZ8QqTk0LBOVj9HXJh8P2i1kD4jcBarRb5k9Ns0ihfdocarYCdnvZkFLewLSW1aXqQA1I4x5-WRR-bsJk%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20230115200419%2C10500000044552%2C27.156.164.235%2C20230115200419%2CUmai%3ACHAN%2F1495655%40BESTV.STA.SMG%2C1000100009996820230115200419%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2#http://27.148.240.138/PLTV/88888888/224/3221226920/ 1.m3u8#http://8.138.7.223/tv/fjtv.php?id=9#http://192.168.50.121:8080/fjtv.php?id=9#http://117.27.190.42:9998/tsfile/live/23289_1.m3u8#rtsp://27.148.236.129:554/live/ch15102717162009517302.sdp?FccMediaIP=239.61.2.7&FccMediaPort=8036&vcdnid=001&mediaid=ch15102717162009517302&AuthInfo=Jz%2F%2BoxTcEWQ734O5OnSPepuwX%2F0ANBqlv2324gByIdkaSwYTsOlQeDnj7beubEqU0d8RtgP2DayASZlOpMLMaA%3D%3D
福建文体,rtsp://27.148.240.181/PLTV/88888888/224/3221226139/10000100000000060000000000741252_0.smil?rrsip=27.148.240.138&zoneoffset=480&icpid=bestv&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7ErCFOU0Rv4saHEQ84jhN5Qw%7EsDx4GJd5Sr5pYevmmuSb7lMNRcJZ8QqTk0LBOVj9HXJh8P2i1kD4jcBarRb5k9Ns0ihfdocarYCdnvZkFLewLSW1aXqQA1I4x5-WRR-bsJk%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20230115200419%2C10500000044552%2C27.156.164.235%2C20230115200419%2C10000100000000050000000000752950%2C1000100009996820230115200419%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2#http://27.148.240.138/PLTV/88888888/224/3221226749/ 1.m3u8#http://8.138.7.223/tv/fjtv.php?id=10#http://192.168.50.121:8080/fjtv.php?id=10#http://117.27.190.42:9998/tsfile/live/23291_1.m3u8#rtsp://27.148.236.129:554/live/ch17041318323608461611.sdp?FccMediaIP=239.61.2.160&FccMediaPort=8948&vcdnid=001&mediaid=ch17041318323608461611&AuthInfo=Jz%2F%2BoxTcEWQ734O5OnSPej9nJMJVgrJ4%2FaspXzqeVe9QeUwDwMtBbrPa8bgyyls90d8RtgP2DayASZlOpMLMaA%3D%3D
福建少儿,rtsp://27.148.240.181/PLTV/88888888/224/3221225686/10000100000000060000000000417450_0.smil?rrsip=27.148.240.138&zoneoffset=480&icpid=bestv&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7ENqNay4MrqVtJRzAOs2Lwsw%7EsDx4GJd5Sr5pYevmmuSb7lMNRcJZ8QqTk0LBOVj9HXJh8P2i1kD4jcBarRb5k9Ns0ihfdocarYCdnvZkFLewLSW1aXqQA1I4x5-WRR-bsJk%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20230115200419%2C10500000044552%2C27.156.164.235%2C20230115200419%2CUmai%3ACHAN%2F12354514%40BESTV.STA.SMG%2C1000100009996820230115200419%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2#http://27.148.240.138/PLTV/88888888/224/3221226738/ 1.m3u8#http://8.138.7.223/tv/fjtv.php?id=2#http://192.168.50.121:8080/fjtv.php?id=2#http://117.27.190.42:9998/tsfile/live/23290_1.m3u8#rtsp://27.148.236.129:554/live/ch15102717162041774825.sdp?FccMediaIP=239.61.2.9&FccMediaPort=8048&vcdnid=001&mediaid=ch15102717162041774825&AuthInfo=Jz%2F%2BoxTcEWQ734O5OnSPepuwX%2F0ANBqlv2324gByIdnVYhy7JhAQ4aQzMqQsOoCA0d8RtgP2DayASZlOpMLMaA%3D%3D
